Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 011 | 1 | 08001b | 00000000.00000000.00000000.00000000.00000000.00000000.a6e92b56.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.cadceefb. | 1 | 080007 | 00000000.00000000.00000000.00000000.00000000.b8cadce9.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080016 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.8bce103e.00000000. |
| 100 | 1 | 08000d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.dcef010d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001e | e92b6d98.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080005 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.f2041623.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080019 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.ce105280.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 080010 | 00000000.00000000.00000000.ef01131f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080004 | 00000000.00000000.00000000.00000000.6daff21c.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080013 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.01132531.00000000.00000000. | 1 | 08001c | 00000000.00000000.105294c2.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.3a4c5e6b. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.f23476a0.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080002 | 00000000.00000000.00000000.00000000.00000000.00000000.94d71946.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000e | 00000000.00000000.00000000.00000000.00000000.283a4c59.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 080008 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.195b9dca.00000000.00000000.00000000.00000000.00000000. | 1 | 080005 | d7195b88.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080014 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.4c5e707d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080019 | 00000000.25374955.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100004 | 00000000.00000000.00000000.67798b8f.00000000.00000000.00000000.00000000. | 1 | 10002c | 00000000.00000000.00000000.00000000.7cbf010c.00000000.00000000.00000000. | 1 | 10001c | 00000000.00000000.1f61a3b2.00000000.00000000.00000000.00000000.00000000. | 1 | 10001f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.fb0d1f23. |
| 001 | 1 | 100032 | 00000000.00000000.00000000.00000000.00000000.00000000.bf01434e.00000000. | 1 | 100007 | ef317380.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 10000a | 00000000.00000000.00000000.00000000.00000000.798b9da1.00000000.00000000. | 1 | 10002f | 00000000.e5f80a0d.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 100010 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.8b9dafb3. | 1 | 100035 | 00000000.00000000.00000000.f80a1c1f.00000000.00000000.00000000.00000000. | 1 | 100028 | 00000000.00000000.00000000.00000000.00000000.00000000.a3e62836.00000000. | 1 | 10000d | 00000000.00000000.3173b5c2.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 10003b | 00000000.00000000.00000000.00000000.00000000.0a1c2e31.00000000.00000000. | 1 | 10002b | 00000000.00000000.00000000.1f314347.00000000.00000000.00000000.00000000. | 1 | 100013 | 00000000.00000000.00000000.00000000.73b5f804.00000000.00000000.00000000. | 1 | 100038 | 01438590.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 100031 | 00000000.00000000.00000000.00000000.00000000.31435559.00000000.00000000. | 1 | 100016 | 00000000.9dafc1c5.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100019 | 00000000.00000000.00000000.00000000.00000000.00000000.b5f83a46.00000000. | 1 | 10002e | e6286a78.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 100034 | 00000000.00000000.286aacba.00000000.00000000.00000000.00000000.00000000. | 1 | 100037 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.4355676b. | 1 | 7fffbf | 00000000.00000000.00000000.7fffbfb0.00000edd.00000000.00000000.00000000. | 1 | 10001c | 00000000.00000000.00000000.afc1d3d7.00000000.00000000.00000000.00000000. |
| 110 | 1 | 10001f | f83a7c88.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100022 | 00000000.00000000.00000000.00000000.00000000.c1d3e5e9.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.0a1c2e31.00000edd.000001b2.00000000.7fffbfe0.00400020. | 1 | 10003a | 00000000.00000000.00000000.00000000.6aaceefc.00000000.00000000.00000000. |
| 111 | 1 | 100000 | 00000000.00000000.00000000.00000000.00000000.00000000.acef313e.00000000. | 1 | 100025 | 00000000.00000000.3a7cbeca.00000000.00000000.00000000.00000000.00000000. | 1 | 100028 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.d3e5f7fb. | 1 | 10003d | 00000000.5567797d.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                                                 way0                                                                 | v |  tag   |                                                                 way1                                                                 | v |  tag   |                                                                 way2                                                                 | v |  tag   |                                                                 way3                                                                 |
| 000 | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.61a3e5f4.00000000.00000000.00000000. | 1 | 080009 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.0446889a.00000000.00000000.00000000.00000000.00000000. | 1 | 08001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.8ea0b2b7.00000000.00000000.00000000.00000000. | 1 | 08001a | 00000000.7c8ea0a5.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 08000c | 00000000.00000000.00000000.00000000.4688cadc.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.88cb0d1e.00000000. | 1 | 080000 | 00000000.00000000.00000000.00000000.00000000.a0b2c4c9.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080003 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.b2c4d6db. |
| 010 | 1 | 08001e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.d9ebfe03.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080012 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.cb0d4f60.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.6daff206.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080006 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.c4d6e8ed.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 08000c | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.e8fb0d11.00000000.00000000. | 1 | 080004 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.fe102227.00000000.00000000.00000000.00000000. | 1 | 080018 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.4f91d3e4.00000000.00000000.00000000. | 1 | 080009 | 00000000.00000000.00000000.d6e8faff.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.2234464b. | 1 | 08001b | 00000000.00000000.00000000.00000000.00000000.00000000.91d41626.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080007 | 00000000.00000000.00000000.00000000.00000000.10223439.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080016 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.76b8fb0e.00000000. |
| 101 | 1 | 08000d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.3446585d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001e | d4165868.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080001 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.16589aaa.00000000.00000000.00000000.00000000.00000000. | 1 | 080012 | 00000000.0d1f3135.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 080010 | 00000000.00000000.00000000.46586a6f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080007 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.9add1f2e.00000000. | 1 | 080004 | 00000000.00000000.00000000.00000000.589adcec.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080013 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.586a7c81.00000000.00000000. |
| 111 | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.dd1f6170.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080002 | 00000000.00000000.00000000.00000000.00000000.00000000.7fc20416.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.91a3b5bb. | 1 | 080016 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.6a7c8e93.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100008 | 00000000.8597a9a5.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 10000b | 00000000.00000000.00000000.00000000.00000000.00000000.b2f53726.00000000. | 1 | 100020 | e3256758.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100023 | 00000000.00000000.00000000.00000000.00000000.192b3d39.00000000.00000000. |
| 001 | 1 | 100001 | 00000000.00000000.00000000.00000000.00000000.00000000.97da1c0e.00000000. | 1 | 100026 | 00000000.00000000.2567a99a.00000000.00000000.00000000.00000000.00000000. | 1 | 100029 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.2b3d4f4b. | 1 | 10000e | 00000000.00000000.00000000.97a9bbb7.00000000.00000000.00000000.00000000. |
| 010 | 1 | 100014 | 00000000.00000000.00000000.00000000.00000000.a9bbcdc9.00000000.00000000. | 1 | 100004 | 00000000.00000000.00000000.bed0e2df.00000000.00000000.00000000.00000000. | 1 | 10002c | 00000000.00000000.00000000.00000000.67a9ebdc.00000000.00000000.00000000. | 1 | 100011 | f5377968.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 10000a | 00000000.00000000.00000000.00000000.00000000.d0e2f4f1.00000000.00000000. | 1 | 10002f | 00000000.3d4f615d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100032 | 00000000.00000000.00000000.00000000.00000000.00000000.a9ec2e1e.00000000. | 1 | 100017 | 00000000.00000000.3779bbaa.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 100010 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.e2f50703. | 1 | 100035 | 00000000.00000000.00000000.4f61736f.00000000.00000000.00000000.00000000. | 1 | 100028 | 00000000.00000000.00000000.00000000.00000000.00000000.8ed11306.00000000. | 1 | 10000d | 00000000.00000000.1c5ea092.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 100013 | 00000000.00000000.00000000.00000000.5ea0e2d4.00000000.00000000.00000000. | 1 | 100038 | ec2e7060.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.00000000.7fffbfb0.0000069f.00000000.00000000.00000000. | 1 | 10003b | 00000000.00000000.00000000.00000000.00000000.61738581.00000000.00000000. |
